,cultura,ref_infra_v,ref_rgb,data,mes,path,area,imagens_baixadas,imagens_processadas
0,aveia,915c8c87_v,915c8c87_rgb,2025-06-12,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519392281-1_plantio_12-06-25_colheita_30-09-25.kml,0.0,"[['./imagens/915c8c87_v_d29/5b83c9575fac9a4e7dec3ffbb00e2710/response.png'], ['./imagens/915c8c87_v_d44/65b78b59fb1a5825346cdb8ed5b49497/response.png', './imagens/915c8c87_v_d44/1e12934257857851efe900bc0acac566/response.png']]","['./processadas/mascara_915c8c87_v_d29.png', './processadas/mascara_915c8c87_v_d44.png']"
1,aveia,f7efdede_v,f7efdede_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519703544-1_plantio_01-06-25_colheita_01-10-25.kml,0.0,"[['./imagens/f7efdede_v_d29/1f617de4c2cf4e17e16dc418b5045d7c/response.png', './imagens/f7efdede_v_d29/3fcc43050baf5e09109072281266df83/response.png', './imagens/f7efdede_v_d29/2be87e76220cb3c81fd494975d0ecab6/response.png'], ['./imagens/f7efdede_v_d44/9dbbf5550bd835385e3895c0af168afc/response.png']]","['./processadas/mascara_f7efdede_v_d29.png', './processadas/mascara_f7efdede_v_d44.png']"
2,aveia,397dbaeb_v,397dbaeb_rgb,2024-06-10,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_518069893-1_plantio_10-06-24_colheita_20-09-24.kml,0.0,"[['./imagens/397dbaeb_v_d29/8ec068700177294488a01ff030808eed/response.png'], ['./imagens/397dbaeb_v_d44/696cd9095ec953364afd8e0d7b685eef/response.png', './imagens/397dbaeb_v_d44/5b15a9b8b439a118f3a995b922a000e8/response.png'], ['./imagens/397dbaeb_v_d64/d86c4315754933d4886641be45beec70/response.png']]","['./processadas/mascara_397dbaeb_v_d29.png', './processadas/mascara_397dbaeb_v_d44.png', './processadas/mascara_397dbaeb_v_d64.png']"
3,aveia,40c6db93_v,40c6db93_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519496309-1_plantio_01-06-25_colheita_20-10-25.kml,0.0,"[['./imagens/40c6db93_v_d29/67a41fe544e63041bc6ced6c2fdda1c5/response.png', './imagens/40c6db93_v_d29/db8f1ca279a454e8393229046ddfd58d/response.png', './imagens/40c6db93_v_d29/38d425959a4b49958b0b85ec50eb0d83/response.png', './imagens/40c6db93_v_d29/8b9e59ed134d568073a78857609ac505/response.png', './imagens/40c6db93_v_d29/71f0b5e0d10da974c66a0001b334bde8/response.png'], ['./imagens/40c6db93_v_d44/a2d36aaa025cd348f3bf5cee24d74592/response.png', './imagens/40c6db93_v_d44/d736e6b07429319a4abac3599d801135/response.png', './imagens/40c6db93_v_d44/778948755cd9b832d22f17af200bb426/response.png']]","['./processadas/mascara_40c6db93_v_d29.png', './processadas/mascara_40c6db93_v_d44.png']"
4,aveia,a30fb257_v,a30fb257_rgb,2024-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517954217-1_plantio_01-06-24_colheita_20-10-24.kml,0.0,"[['./imagens/a30fb257_v_d29/f1922421894322e7fd86dcc876dd981a/response.png', './imagens/a30fb257_v_d29/9a0e4b3631006ec95f988e99e9433e96/response.png'], ['./imagens/a30fb257_v_d44/79197e5b72f75bbe3ef5624a24e92875/response.png'], ['./imagens/a30fb257_v_d64/ad36f69e178967ed0ad908a52867834b/response.png']]","['./processadas/mascara_a30fb257_v_d29.png', './processadas/mascara_a30fb257_v_d44.png', './processadas/mascara_a30fb257_v_d64.png']"
5,aveia,f11f36fe_v,f11f36fe_rgb,2025-06-16,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519674549-1_plantio_16-06-25_colheita_27-10-25.kml,0.0,"[['./imagens/f11f36fe_v_d29/c46078731acaf0f26d8abdb5671e7ccc/response.png', './imagens/f11f36fe_v_d29/15cd62f91a40693b47b061c7d07b3d7b/response.png', './imagens/f11f36fe_v_d29/f6a6f0c5fcba2a99f14fe440eddeda84/response.png'], ['./imagens/f11f36fe_v_d44/f76f7492eb130a089f1c2e885dcfc739/response.png', './imagens/f11f36fe_v_d44/57bcace38a6c3cac2ae4308ea7c895b0/response.png', './imagens/f11f36fe_v_d44/f8697df7c00a37f870a988ab4285f5a1/response.png']]","['./processadas/mascara_f11f36fe_v_d29.png', './processadas/mascara_f11f36fe_v_d44.png']"
6,aveia,ff93c749_v,ff93c749_rgb,2024-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517749464-1_plantio_21-05-24_colheita_08-09-24.kml,0.0,"[['./imagens/ff93c749_v_d29/cb15a77ebc5c4ee9841264a6680cf538/response.png'], ['./imagens/ff93c749_v_d44/75b0557a32445ebb667b2e6f992e9936/response.png'], ['./imagens/ff93c749_v_d64/a6b3e1c3ff53e7d445e0c7f62b74094d/response.png']]","['./processadas/mascara_ff93c749_v_d29.png', './processadas/mascara_ff93c749_v_d44.png', './processadas/mascara_ff93c749_v_d64.png']"
7,aveia,ea2e15e1_v,ea2e15e1_rgb,2025-06-05,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519488863-1_plantio_05-06-25_colheita_12-11-25.kml,0.0,"[['./imagens/ea2e15e1_v_d29/dc34cc4047446c40adaa50c785283c91/response.png'], ['./imagens/ea2e15e1_v_d44/a806c5e4022608736c2139443faee1cb/response.png']]","['./processadas/mascara_ea2e15e1_v_d29.png', './processadas/mascara_ea2e15e1_v_d44.png']"
8,aveia,07d20488_v,07d20488_rgb,2024-05-25,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517693795-1_plantio_25-05-24_colheita_25-10-24.kml,0.0,"[['./imagens/07d20488_v_d29/13d367794c15cb5e36d81c9f59abf140/response.png'], ['./imagens/07d20488_v_d44/0247d288f2873e558e6a2b6f06769394/response.png'], ['./imagens/07d20488_v_d64/baceb6b3bf67ed66e940a6ceeecf232c/response.png']]","['./processadas/mascara_07d20488_v_d29.png', './processadas/mascara_07d20488_v_d44.png', './processadas/mascara_07d20488_v_d64.png']"
9,aveia,776bb71e_v,776bb71e_rgb,2024-05-25,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517468593-1_plantio_25-05-24_colheita_25-10-24.kml,0.0,"[['./imagens/776bb71e_v_d29/40dbfcdda624ab2a45443c732f537812/response.png', './imagens/776bb71e_v_d29/cbc49b0cc0f9801e9c52b37294a6f4c3/response.png'], ['./imagens/776bb71e_v_d64/7dacfc7b3540621e7406f0a9f59e3304/response.png']]","['./processadas/mascara_776bb71e_v_d29.png', './processadas/mascara_776bb71e_v_d64.png']"
