cultura,ref_infra_v,ref_rgb,data,mes,path
aveia,915c8c87_v,915c8c87_rgb,2025-06-12,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519392281-1_plantio_12-06-25_colheita_30-09-25.kml
aveia,f7efdede_v,f7efdede_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519703544-1_plantio_01-06-25_colheita_01-10-25.kml
aveia,397dbaeb_v,397dbaeb_rgb,2024-06-10,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_518069893-1_plantio_10-06-24_colheita_20-09-24.kml
aveia,40c6db93_v,40c6db93_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519496309-1_plantio_01-06-25_colheita_20-10-25.kml
aveia,a30fb257_v,a30fb257_rgb,2024-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517954217-1_plantio_01-06-24_colheita_20-10-24.kml
aveia,f11f36fe_v,f11f36fe_rgb,2025-06-16,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519674549-1_plantio_16-06-25_colheita_27-10-25.kml
aveia,ff93c749_v,ff93c749_rgb,2024-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517749464-1_plantio_21-05-24_colheita_08-09-24.kml
aveia,ea2e15e1_v,ea2e15e1_rgb,2025-06-05,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519488863-1_plantio_05-06-25_colheita_12-11-25.kml
aveia,07d20488_v,07d20488_rgb,2024-05-25,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517693795-1_plantio_25-05-24_colheita_25-10-24.kml
aveia,776bb71e_v,776bb71e_rgb,2024-05-25,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517468593-1_plantio_25-05-24_colheita_25-10-24.kml
aveia,dc70d8e1_v,dc70d8e1_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519539351-1_plantio_01-06-25_colheita_10-10-25.kml
aveia,accacf21_v,accacf21_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519961442-1_plantio_01-06-25_colheita_01-10-25.kml
aveia,3683ea07_v,3683ea07_rgb,2025-05-30,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519483724-1_plantio_30-05-25_colheita_01-10-25.kml
aveia,f18e3975_v,f18e3975_rgb,2025-06-15,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519967797-1_plantio_15-06-25_colheita_15-10-25.kml
aveia,ee63e693_v,ee63e693_rgb,2025-06-30,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519892631-1_plantio_30-06-25_colheita_30-10-25.kml
aveia,56cf9145_v,56cf9145_rgb,2025-06-11,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_520019039-1_plantio_11-06-25_colheita_29-10-25.kml
aveia,cc580331_v,cc580331_rgb,2024-06-21,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517559653-1_plantio_21-06-24_colheita_15-10-24.kml
aveia,462572c1_v,462572c1_rgb,2024-07-18,7,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_518249591-1_plantio_18-07-24_colheita_05-12-24.kml
aveia,d9fbd525_v,d9fbd525_rgb,2024-05-11,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517459135-1_plantio_11-05-24_colheita_02-10-24.kml
aveia,2d231a8c_v,2d231a8c_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519378672-1_plantio_01-06-25_colheita_01-10-25.kml
aveia,ecc71853_v,ecc71853_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519883709-1_plantio_01-06-25_colheita_30-09-25.kml
aveia,d1d43a75_v,d1d43a75_rgb,2024-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517974146-1_plantio_21-05-24_colheita_01-09-24.kml
aveia,f5937c79_v,f5937c79_rgb,2025-04-21,4,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519297551-1_plantio_21-04-25_colheita_01-10-25.kml
aveia,beb63abb_v,beb63abb_rgb,2024-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517587528-1_plantio_21-05-24_colheita_10-10-24.kml
aveia,5e280060_v,5e280060_rgb,2025-06-10,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519730134-1_plantio_10-06-25_colheita_08-09-25.kml
aveia,609932f6_v,609932f6_rgb,2025-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519671444-1_plantio_21-05-25_colheita_04-10-25.kml
aveia,79a369e6_v,79a369e6_rgb,2024-06-30,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_518022948-1_plantio_30-06-24_colheita_01-11-24.kml
aveia,282be738_v,282be738_rgb,2024-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517563841-1_plantio_01-06-24_colheita_01-10-24.kml
aveia,a6e1ac25_v,a6e1ac25_rgb,2025-06-21,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519805096-1_plantio_21-06-25_colheita_25-10-25.kml
aveia,61b07479_v,61b07479_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519517563-1_plantio_01-06-25_colheita_08-10-25.kml
aveia,9aef2b6f_v,9aef2b6f_rgb,2025-04-25,4,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519341090-1_plantio_25-04-25_colheita_05-09-25.kml
aveia,b8481318_v,b8481318_rgb,2024-06-10,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517721024-1_plantio_10-06-24_colheita_31-10-24.kml
aveia,1ae01351_v,1ae01351_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519819842-1_plantio_01-06-25_colheita_15-10-25.kml
aveia,1b2013c8_v,1b2013c8_rgb,2025-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519782151-1_plantio_21-05-25_colheita_15-10-25.kml
aveia,4e683c32_v,4e683c32_rgb,2025-06-12,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519514683-1_plantio_12-06-25_colheita_16-10-25.kml
aveia,a6b0751c_v,a6b0751c_rgb,2024-05-22,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517968582-1_plantio_22-05-24_colheita_25-09-24.kml
aveia,d1678720_v,d1678720_rgb,2024-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517455568-1_plantio_21-05-24_colheita_10-10-24.kml
aveia,227fd5d6_v,227fd5d6_rgb,2025-05-20,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519609414-1_plantio_20-05-25_colheita_01-09-25.kml
aveia,653dda57_v,653dda57_rgb,2025-05-30,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519787958-1_plantio_30-05-25_colheita_10-11-25.kml
aveia,17d3e068_v,17d3e068_rgb,2024-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517778246-1_plantio_01-06-24_colheita_10-11-24.kml
aveia,1731f351_v,1731f351_rgb,2025-06-01,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519486185-1_plantio_01-06-25_colheita_05-10-25.kml
aveia,4b12c597_v,4b12c597_rgb,2024-06-15,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517740979-1_plantio_15-06-24_colheita_30-10-24.kml
aveia,d204df2b_v,d204df2b_rgb,2025-05-21,5,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_520030633-1_plantio_21-05-25_colheita_18-09-25.kml
aveia,c6908a4c_v,c6908a4c_rgb,2025-06-15,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_519625830-1_plantio_15-06-25_colheita_20-10-25.kml
aveia,4a08aa50_v,4a08aa50_rgb,2024-06-20,6,/home/softfocus/data_mining_retreino/kmls/culturas/arquivos_kml_AVEIA/AVEIA_517369800-1_plantio_20-06-24_colheita_10-11-24.kml
