kml,data,true,pred,confianca,prob_true,acerto,tempo_seg
MILHO_520251036-1_plantio_11-09-25_colheita_25-01-26.kml,2025-09-11,MILHO,MILHO,64.4,64.4,True,10.2
MILHO_517265567-1_plantio_15-02-24_colheita_15-07-24.kml,2024-02-15,MILHO,MILHO,65.7,65.7,True,10.2
MILHO_520055434-1_plantio_10-10-25_colheita_27-02-26.kml,2025-10-10,MILHO,MILHO,40.3,40.3,True,10.3
MILHO_518543002-1_plantio_15-09-24_colheita_05-02-25.kml,2024-09-15,MILHO,FEIJÃO,46.0,13.2,False,10.3
TRIGO_519843114-1_plantio_21-04-25_colheita_15-09-25.kml,2025-04-21,TRIGO,TRIGO,88.7,88.7,True,10.3
SOJA_518688725-1_plantio_01-10-24_colheita_01-02-25.kml,2024-10-01,SOJA,SOJA,53.3,53.3,True,10.1
TRIGO_517665258-1_plantio_01-06-24_colheita_01-10-24.kml,2024-06-01,TRIGO,TRIGO,92.9,92.9,True,10.1
AVEIA_517494566-1_plantio_01-06-24_colheita_20-10-24.kml,2024-06-01,AVEIA,AVEIA,93.4,93.4,True,10.1
TRIGO_517907363-1_plantio_25-05-24_colheita_05-10-24.kml,2024-05-25,TRIGO,TRIGO,91.5,91.5,True,10.1
TRIGO_517455692-1_plantio_15-06-24_colheita_28-10-24.kml,2024-06-15,TRIGO,TRIGO,92.9,92.9,True,10.1
AVEIA_517677037-1_plantio_21-05-24_colheita_05-10-24.kml,2024-05-21,AVEIA,AVEIA,93.2,93.2,True,10.1
TRIGO_517610671-1_plantio_20-06-24_colheita_25-10-24.kml,2024-06-20,TRIGO,TRIGO,93.2,93.2,True,10.1
AVEIA_519509612-1_plantio_10-06-25_colheita_23-10-25.kml,2025-06-10,AVEIA,AVEIA,92.9,92.9,True,10.1
AVEIA_519528190-1_plantio_21-05-25_colheita_01-10-25.kml,2025-05-21,AVEIA,AVEIA,91.6,91.6,True,10.1
TRIGO_519793493-1_plantio_22-06-25_colheita_19-11-25.kml,2025-06-22,TRIGO,TRIGO,93.0,93.0,True,10.1
MILHO_517320599-1_plantio_20-02-24_colheita_20-07-24.kml,2024-02-20,MILHO,FEIJÃO,67.5,25.9,False,10.1
TRIGO_519875572-1_plantio_01-06-25_colheita_01-11-25.kml,2025-06-01,TRIGO,TRIGO,93.0,93.0,True,10.1
TRIGO_517563635-1_plantio_25-05-24_colheita_01-10-24.kml,2024-05-25,TRIGO,TRIGO,93.1,93.1,True,20.1
MILHO_518855116-1_plantio_25-02-25_colheita_01-08-25.kml,2025-02-25,MILHO,FEIJÃO,47.9,44.9,False,20.1
AVEIA_517725187-1_plantio_02-06-24_colheita_01-10-24.kml,2024-06-02,AVEIA,AVEIA,93.8,93.8,True,20.2
SOJA_518907678-2_plantio_10-11-24_colheita_10-04-25.kml,2024-11-10,SOJA,SOJA,72.1,72.1,True,10.1
TRIGO_517967030-1_plantio_24-06-24_colheita_05-11-24.kml,2024-06-24,TRIGO,TRIGO,90.9,90.9,True,10.1
SOJA_518667011-1_plantio_05-11-24_colheita_20-04-25.kml,2024-11-05,SOJA,SOJA,91.1,91.1,True,10.1
AVEIA_517907888-1_plantio_05-06-24_colheita_30-10-24.kml,2024-06-05,AVEIA,AVEIA,93.4,93.4,True,10.1
MILHO_517317630-1_plantio_28-01-24_colheita_16-05-24.kml,2024-01-28,MILHO,FEIJÃO,73.6,13.1,False,10.0
MILHO_519638874-1_plantio_01-05-25_colheita_15-11-25.kml,2025-05-01,MILHO,MILHO,89.6,89.6,True,10.1
SOJA_518945632-1_plantio_15-11-24_colheita_01-04-25.kml,2024-11-15,SOJA,SOJA,86.5,86.5,True,10.1
AVEIA_517489320-1_plantio_01-06-24_colheita_25-10-24.kml,2024-06-01,AVEIA,AVEIA,92.4,92.4,True,10.1
FEIJÃO_518496257-1_plantio_21-09-24_colheita_21-12-24.kml,2024-09-21,FEIJÃO,SOJA,51.2,31.4,False,10.1
SOJA_519066557-1_plantio_25-11-24_colheita_01-04-25.kml,2024-11-25,SOJA,SOJA,68.5,68.5,True,10.1
MILHO_519055923-1_plantio_10-02-25_colheita_25-07-25.kml,2025-02-10,MILHO,FEIJÃO,64.7,28.9,False,10.1
TRIGO_517905207-1_plantio_16-05-24_colheita_25-08-24.kml,2024-05-16,TRIGO,TRIGO,92.4,92.4,True,10.1
FEIJÃO_517400846-1_plantio_01-02-24_colheita_20-04-24.kml,2024-02-01,FEIJÃO,FEIJÃO,57.9,57.9,True,10.1
FEIJÃO_517292325-1_plantio_20-02-24_colheita_02-05-24.kml,2024-02-20,FEIJÃO,FEIJÃO,58.6,58.6,True,10.0
FEIJÃO_519553897-1_plantio_20-02-25_colheita_15-05-25.kml,2025-02-20,FEIJÃO,FEIJÃO,80.2,80.2,True,10.1
MILHO_519958962-1_plantio_25-08-25_colheita_13-12-25.kml,2025-08-25,MILHO,MILHO,80.4,80.4,True,10.1
TRIGO_517704561-1_plantio_11-05-24_colheita_10-09-24.kml,2024-05-11,TRIGO,TRIGO,93.2,93.2,True,10.1
TRIGO_517610871-1_plantio_15-05-24_colheita_10-10-24.kml,2024-05-15,TRIGO,TRIGO,93.6,93.6,True,10.1
AVEIA_519530547-1_plantio_10-06-25_colheita_01-10-25.kml,2025-06-10,AVEIA,AVEIA,90.7,90.7,True,10.1
AVEIA_518188772-1_plantio_26-06-24_colheita_25-10-24.kml,2024-06-26,AVEIA,AVEIA,92.3,92.3,True,10.0
MILHO_519673719-1_plantio_19-03-25_colheita_21-08-25.kml,2025-03-19,MILHO,MILHO,91.1,91.1,True,10.1
AVEIA_517681337-1_plantio_30-04-24_colheita_02-09-24.kml,2024-04-30,AVEIA,AVEIA,93.5,93.5,True,10.1
AVEIA_517594898-1_plantio_11-05-24_colheita_29-08-24.kml,2024-05-11,AVEIA,AVEIA,93.2,93.2,True,10.1
MILHO_517980823-1_plantio_01-09-24_colheita_01-04-25.kml,2024-09-01,MILHO,MILHO,46.7,46.7,True,10.1
FEIJÃO_517403994-1_plantio_26-02-24_colheita_23-05-24.kml,2024-02-26,FEIJÃO,FEIJÃO,79.8,79.8,True,10.1
AVEIA_520233976-1_plantio_20-07-25_colheita_15-10-25.kml,2025-07-20,AVEIA,AVEIA,91.3,91.3,True,10.1
MILHO_518730753-1_plantio_11-11-24_colheita_10-03-25.kml,2024-11-11,MILHO,MILHO,84.3,84.3,True,10.1
MILHO_517869699-1_plantio_17-05-24_colheita_01-11-24.kml,2024-05-17,MILHO,MILHO,72.0,72.0,True,10.1
SOJA_520351254-1_plantio_15-12-25_colheita_15-03-26.kml,2025-12-15,SOJA,SOJA,64.7,64.7,True,10.1
AVEIA_519796837-1_plantio_11-06-25_colheita_29-10-25.kml,2025-06-11,AVEIA,AVEIA,93.5,93.5,True,10.1
FEIJÃO_519340342-1_plantio_26-02-25_colheita_01-04-25.kml,2025-02-26,FEIJÃO,FEIJÃO,46.8,46.8,True,10.1
SOJA_517284672-1_plantio_15-01-24_colheita_24-05-24.kml,2024-01-15,SOJA,FEIJÃO,44.5,11.1,False,10.0
MILHO_519598354-1_plantio_01-05-25_colheita_01-11-25.kml,2025-05-01,MILHO,MILHO,82.5,82.5,True,10.1
MILHO_518262682-1_plantio_20-09-24_colheita_28-01-25.kml,2024-09-20,MILHO,MILHO,69.1,69.1,True,10.1
TRIGO_517582804-1_plantio_10-06-24_colheita_20-10-24.kml,2024-06-10,TRIGO,TRIGO,93.5,93.5,True,10.1
