kml,data,true,claim,mesmo_dap,pred,confianca,prob_true,prob_claim,acerto_real,seguiu_mentira,tempo_seg
AVEIA_517529258-1_plantio_21-05-24_colheita_20-09-24.kml,2024-05-21,AVEIA,SOJA,False,MILHO,94.8,0.9,1.1,False,False,35.6
FEIJÃO_519311137-1_plantio_01-03-25_colheita_20-05-25.kml,2025-03-01,FEIJÃO,TRIGO,False,FEIJÃO,74.8,74.8,1.9,True,False,35.6
AVEIA_518023991-1_plantio_25-05-24_colheita_10-10-24.kml,2024-05-25,AVEIA,AVEIA,True,AVEIA,85.8,85.8,85.8,True,False,12.9
TRIGO_519444779-1_plantio_25-05-25_colheita_10-10-25.kml,2025-05-25,TRIGO,TRIGO,True,TRIGO,92.4,92.4,92.4,True,False,12.8
FEIJÃO_519557891-1_plantio_08-03-25_colheita_22-05-25.kml,2025-03-08,FEIJÃO,TRIGO,False,FEIJÃO,73.5,73.5,2.3,True,False,12.6
TRIGO_517610671-1_plantio_20-06-24_colheita_25-10-24.kml,2024-06-20,TRIGO,SOJA,False,AVEIA,41.9,12.6,5.5,False,False,12.3
MILHO_518599043-1_plantio_12-11-24_colheita_10-02-25.kml,2024-11-12,MILHO,SOJA,True,SOJA,71.2,15.8,71.2,False,True,13.1
TRIGO_519804719-1_plantio_15-06-25_colheita_25-10-25.kml,2025-06-15,TRIGO,AVEIA,False,AVEIA,92.7,1.9,92.7,False,True,67.4
AVEIA_517410988-1_plantio_01-06-24_colheita_01-10-24.kml,2024-06-01,AVEIA,TRIGO,False,TRIGO,93.1,1.8,93.1,False,True,13.2
FEIJÃO_519311137-1_plantio_01-03-25_colheita_20-05-25.kml,2025-03-01,FEIJÃO,SOJA,True,FEIJÃO,79.1,79.1,2.1,True,False,35.4
TRIGO_517916685-1_plantio_01-06-24_colheita_20-10-24.kml,2024-06-01,TRIGO,AVEIA,False,AVEIA,92.6,1.9,92.6,False,True,35.4
SOJA_518472395-1_plantio_10-11-24_colheita_20-03-25.kml,2024-11-10,SOJA,SOJA,True,SOJA,43.6,43.6,43.6,True,False,35.4
TRIGO_517743795-1_plantio_20-05-24_colheita_27-09-24.kml,2024-05-20,TRIGO,TRIGO,True,TRIGO,90.7,90.7,90.7,True,False,35.4
SOJA_518145934-1_plantio_01-10-24_colheita_25-02-25.kml,2024-10-01,SOJA,AVEIA,False,SOJA,51.9,51.9,3.0,True,False,22.9
AVEIA_517687248-1_plantio_15-06-24_colheita_15-10-24.kml,2024-06-15,AVEIA,AVEIA,True,AVEIA,92.5,92.5,92.5,True,False,12.0
FEIJÃO_517260136-1_plantio_25-02-24_colheita_25-05-24.kml,2024-02-25,FEIJÃO,SOJA,True,FEIJÃO,86.0,86.0,1.9,True,False,12.0
SOJA_518500033-1_plantio_10-12-24_colheita_15-04-25.kml,2024-12-10,SOJA,FEIJÃO,True,SOJA,45.9,45.9,24.8,True,False,12.2
TRIGO_517907363-1_plantio_25-05-24_colheita_05-10-24.kml,2024-05-25,TRIGO,TRIGO,True,TRIGO,92.5,92.5,92.5,True,False,12.2
AVEIA_517409103-1_plantio_03-06-24_colheita_15-10-24.kml,2024-06-03,AVEIA,AVEIA,True,AVEIA,92.6,92.6,92.6,True,False,12.5
SOJA_518145934-1_plantio_01-10-24_colheita_25-02-25.kml,2024-10-01,SOJA,FEIJÃO,True,SOJA,72.9,72.9,13.1,True,False,23.6
SOJA_520100936-1_plantio_25-11-25_colheita_10-04-26.kml,2025-11-25,SOJA,SOJA,True,SOJA,76.7,76.7,76.7,True,False,23.6
FEIJÃO_519311137-1_plantio_01-03-25_colheita_20-05-25.kml,2025-03-01,FEIJÃO,MILHO,True,FEIJÃO,79.1,79.1,14.0,True,False,23.6
SOJA_519937980-1_plantio_01-10-25_colheita_01-02-26.kml,2025-10-01,SOJA,TRIGO,False,SOJA,84.8,84.8,1.7,True,False,23.6
MILHO_517333241-1_plantio_20-04-24_colheita_01-10-24.kml,2024-04-20,MILHO,FEIJÃO,True,MILHO,77.1,77.1,4.6,True,False,12.7
MILHO_518400022-1_plantio_20-11-24_colheita_10-03-25.kml,2024-11-20,MILHO,SOJA,True,SOJA,89.9,2.7,89.9,False,True,12.0
TRIGO_519917374-1_plantio_15-06-25_colheita_15-10-25.kml,2025-06-15,TRIGO,FEIJÃO,False,MILHO,39.6,22.4,7.5,False,False,12.0
FEIJÃO_519514583-1_plantio_11-02-25_colheita_30-04-25.kml,2025-02-11,FEIJÃO,TRIGO,False,FEIJÃO,90.3,90.3,1.6,True,False,12.2
TRIGO_517506104-1_plantio_01-06-24_colheita_15-10-24.kml,2024-06-01,TRIGO,SOJA,False,AVEIA,36.4,25.6,8.0,False,False,12.2
TRIGO_517618210-1_plantio_21-05-24_colheita_28-10-24.kml,2024-05-21,TRIGO,MILHO,False,MILHO,39.4,14.5,39.4,False,True,11.8
MILHO_517497401-1_plantio_01-03-24_colheita_01-07-24.kml,2024-03-01,MILHO,FEIJÃO,True,FEIJÃO,75.9,16.9,75.9,False,True,22.8
MILHO_517497401-1_plantio_01-03-24_colheita_01-07-24.kml,2024-03-01,MILHO,TRIGO,False,FEIJÃO,53.2,38.2,4.0,False,False,22.6
SOJA_518472395-1_plantio_10-11-24_colheita_20-03-25.kml,2024-11-10,SOJA,TRIGO,False,SOJA,85.8,85.8,1.8,True,False,22.8
TRIGO_517916685-1_plantio_01-06-24_colheita_20-10-24.kml,2024-06-01,TRIGO,MILHO,False,AVEIA,45.4,18.0,19.9,False,False,23.1
SOJA_518405568-1_plantio_20-11-24_colheita_15-04-25.kml,2024-11-20,SOJA,MILHO,True,SOJA,72.0,72.0,15.3,True,False,22.8
