kml,data,true,argmax,max_prob,decisao,confiante,acerto,confianca_pct,prob_true,tempo_seg
AVEIA_517649607-1_plantio_01-06-24_colheita_20-09-24.kml,2024-06-01,AVEIA,AVEIA,88.5,AVEIA,True,True,88.5,88.5,10.1
AVEIA_519588861-1_plantio_01-06-25_colheita_15-10-25.kml,2025-06-01,AVEIA,AVEIA,91.5,AVEIA,True,True,91.5,91.5,10.1
FEIJÃO_518622293-1_plantio_16-02-25_colheita_22-05-25.kml,2025-02-16,FEIJÃO,FEIJÃO,60.7,FEIJÃO,True,True,60.7,60.7,10.1
MILHO_519252119-1_plantio_25-02-25_colheita_10-07-25.kml,2025-02-25,MILHO,FEIJÃO,57.8,FEIJÃO,True,False,57.8,31.3,10.1
SOJA_520283496-1_plantio_23-11-25_colheita_20-03-26.kml,2025-11-23,SOJA,SOJA,95.3,SOJA,True,True,95.3,95.3,10.2
AVEIA_519528190-1_plantio_21-05-25_colheita_01-10-25.kml,2025-05-21,AVEIA,AVEIA,91.5,AVEIA,True,True,91.5,91.5,10.1
TRIGO_519446306-1_plantio_05-06-25_colheita_10-11-25.kml,2025-06-05,TRIGO,TRIGO,93.1,TRIGO,True,True,93.1,93.1,10.1
AVEIA_517677037-1_plantio_21-05-24_colheita_05-10-24.kml,2024-05-21,AVEIA,AVEIA,88.8,AVEIA,True,True,88.8,88.8,10.1
MILHO_517465311-1_plantio_01-05-24_colheita_01-10-24.kml,2024-05-01,MILHO,MILHO,90.5,MILHO,True,True,90.5,90.5,10.1
AVEIA_517690232-1_plantio_15-06-24_colheita_20-10-24.kml,2024-06-15,AVEIA,AVEIA,93.6,AVEIA,True,True,93.6,93.6,10.1
SOJA_518461310-1_plantio_02-11-24_colheita_15-03-25.kml,2024-11-02,SOJA,SOJA,75.6,SOJA,True,True,75.6,75.6,10.1
SOJA_518042195-1_plantio_01-11-24_colheita_30-03-25.kml,2024-11-01,SOJA,SOJA,82.7,SOJA,True,True,82.7,82.7,10.2
SOJA_518945632-1_plantio_15-11-24_colheita_01-04-25.kml,2024-11-15,SOJA,SOJA,88.0,SOJA,True,True,88.0,88.0,10.2
TRIGO_517546760-1_plantio_01-06-24_colheita_19-10-24.kml,2024-06-01,TRIGO,TRIGO,85.8,TRIGO,True,True,85.8,85.8,10.2
MILHO_519972387-1_plantio_15-05-25_colheita_01-11-25.kml,2025-05-15,MILHO,MILHO,94.2,MILHO,True,True,94.2,94.2,10.2
AVEIA_517529258-1_plantio_21-05-24_colheita_20-09-24.kml,2024-05-21,AVEIA,AVEIA,79.2,AVEIA,True,True,79.2,79.2,10.1
